event_id,title,timeframe,customer,address,besetzt,gesamt,anfragen,offen
35328,Weihnachtsfeier,Do 11.12. - 12.12. 13:30h - 02:00h,Klein´er Geschmacks Jaeger OHG,"Hoch5, Atelierstraße 10, 81671 München",13,14,13,1
35181,Veranstaltung,Do 11.12. - 12.12. 17:00h - 01:30h,Park Cafe München GmbH,"Sophienstr. 7, 80333 München",10,11,10,1
35383,BMW Park,Fr 12.12. - 13.12. 09:00h - 01:30h,Käfer Service GmbH | Messegastronomie,"Grasweg 74, 81373 München",20,21,12,1
35384,Käfer Messe,Fr 12.12. 11:00h - 18:00h,Käfer Service GmbH | Messegastronomie,"Am Messesee 4, 81829 München",0,1,4,1
35691,Veranstaltung,Fr 12.12. - 13.12. 11:30h - 04:00h,Bergson GmbH,Am Bergson Kunstkraftwerk 2 81245 München,8,9,2,1
35081,Veranstaltung,Fr 12.12. - 13.12. 13:00h - 02:00h,Käfer Service GmbH | KST. 14002,"Praterinsel 3-4, 80538 München",7,8,7,1
35574,Weihnachtsfeier,Fr 12.12. - 13.12. 14:30h - 00:00h,Stiftl Gastronomie GmbH,"Firma Cybex, Tunnelstraße 6, 95448 Bayreuth",0,5,0,5
34805,Sonderveranstaltung,Fr 12.12. - 13.12. 16:00h - 06:00h,DO & CO Service GmbH,"Olympiapark München, Spiridon-Louis-Ring 21, 80809 München",14,15,15,1
35080,Veranstaltung,Fr 12.12. - 13.12. 16:00h - 03:30h,Käfer Service GmbH | KST. 14001,"Eisbach Studios, Grassbrunner Straße 20, 81677 München",12,16,10,4
35780,Veranstaltung,Fr 12.12. - 13.12. 16:30h - 04:00h,Käfer Service GmbH | KST. 14017,"Alm Galopprennbahn München, Graf-Lehndorff-Str. 36, 81929 München",5,6,2,1
35182,Veranstaltung,Fr 12.12. - 13.12. 17:00h - 03:30h,Park Cafe München GmbH,"Sophienstr. 7, 80333 München",10,12,8,2
35773,Veranstaltung,Fr 12.12. - 13.12. 19:00h - 01:00h,Feinkost Käfer GmbH | Restaurant Käfer-Schänke,"Prinzregentenstraße 73, 81675 München",0,1,1,1
35385,Käfer Messe,Sa 13.12. 08:00h - 14:00h,Käfer Service GmbH | Messegastronomie,"Am Messesee 4, 81829 München",0,1,3,1
35575,Veranstaltung,Sa 13.12. 12:00h - 18:00h,Stiftl KG,Audi Sportpark Ingolstadt,10,15,16,5
35794,Sonderveranstaltung,Sa 13.12. 15:30h - 21:30h,GREATSTAFF,"Lucky Star, Moosacher Str. 70, 80809 München",0,1,1,1
35648,Veranstaltung,Sa 13.12. 16:00h - 23:00h,Restaurant Einstein,"Sankt-Jakobs-Platz 18, 80331 München",10,17,18,7
